word,definition
Propensity,An inclination or natural tendency to behave in a particular way
Proponent,A person who advocates for a theory proposal or course of action
Proportion,A part or share of a whole; the relationship of one thing to another in size
Prosaic,Lacking poetic beauty; commonplace or dull
Provoke,To stimulate or give rise to a reaction or emotion; to deliberately make angry
Prudent,Acting with or showing care and thought for the future; wise and sensible
Prudently,In a way that shows care and thought for the future; wisely
Pungent,Having a sharply strong taste or smell; sharply painful or penetrating
Pursue,To follow in order to catch or attack; to seek to attain or accomplish a goal
Qualify,To be entitled to a benefit or privilege by fulfilling necessary conditions
Quantity,The amount or number of something; a certain or considerable amount
Quarrel,An angry argument or disagreement; to have a heated dispute
Quell,To put an end to typically by force; to suppress or subdue
Querulous,Complaining in a petulant or whining manner; habitually grumbling
Questionable,Doubtful as regards truth or quality; open to doubt or suspicion
Quixotic,Exceedingly idealistic; unrealistic and impractical
Ramify,To form branches or offshoots; to have complex consequences or implications
Rancorous,Showing deep-seated resentment or bitter ill will
Rapacious,Aggressively greedy or grasping; predatory
Rarely,Not often; seldom
Rational,Based on or in accordance with reason or logic; sensible
Rationalize,To attempt to explain or justify behavior or an attitude with logical reasons
Rebellion,An act of violent or open resistance to an established government or ruler
Rebuke,To express sharp disapproval or criticism of someone; to reprimand
Recalcitrant,Having an obstinately uncooperative attitude; stubbornly defiant
Recant,To say that one no longer holds an opinion or belief; to withdraw a statement
Receptive,Willing to consider or accept new suggestions and ideas; open-minded
Reciprocal,Given felt or done in return; mutual
Reciprocate,To respond to a gesture or action by making a corresponding one
Reclusive,Avoiding the company of other people; solitary
Recognizable,Able to be recognized or identified from previous encounters or knowledge
Rectify,To put right or correct; to remedy or amend
Redefine,To define again or differently; to give a new or different meaning to
Redoubtable,Formidable especially as an opponent; worthy of respect or fear
Redress,To remedy or set right an undesirable situation; to make amends for
Redundant,Not or no longer needed or useful; superfluous
Reform,To make changes in something in order to improve it
Refuse,To indicate or show that one is not willing to do or accept something
Refute,To prove a statement or theory to be wrong or false; to deny the truth of
Regime,A government especially an authoritarian one; a system or ordered way of doing things
Regrettable,Giving rise to regret; undesirable or unwelcome
Regulate,To control or maintain the rate or speed of; to control by means of rules
Reject,To dismiss as inadequate or unacceptable; to refuse to accept or consider
Relegate,To consign or dismiss to an inferior rank or position
Relevant,Closely connected or appropriate to what is being done or considered
Relinquish,To voluntarily cease to keep or claim; to give up
Relocate,To move to a new place and establish one's home or business there
Reluctant,Unwilling and hesitant; disinclined
Remiss,Lacking care or attention to duty; negligent
Renounce,To formally declare one's abandonment of a claim right or possession
Replenish,To fill something up again; to restore to a former level or condition
Replicable,Able to be copied or reproduced; capable of being replicated
Reprehensible,Deserving censure or condemnation; morally wrong
Representative,Typical of a class group or body of opinion; serving as a delegate
Repress,To subdue someone or something by force; to suppress or restrain
Reprieve,To cancel or postpone the punishment of; a temporary relief from something bad
Repudiate,To refuse to accept or be associated with; to deny the truth or validity of
Reputable,Having a good reputation; held in high regard
Rescind,To revoke cancel or repeal a law order or agreement
Reside,To have one's permanent home in a particular place; to be present or inherent in
Resilient,Able to withstand or recover quickly from difficult conditions
Resolve,To settle or find a solution to a problem or contentious matter; determination
Responsive,Reacting quickly and positively; readily reacting to suggestions or appeals
Restore,To bring back to a former condition place or position; to repair or renovate
Restrain,To prevent someone or something from doing something; to keep under control
Retain,To continue to have something; to keep in one's memory
Retaliate,To make an attack or assault in return for a similar attack
Reticent,Not revealing one's thoughts or feelings readily; reserved
Rhetoric,The art of effective or persuasive speaking or writing; language designed to persuade
Rousing,Exciting or stirring; causing a strong emotional response
Rudimentary,Involving or limited to basic principles; elementary or undeveloped
Ruminate,To think deeply about something; to meditate or ponder
Sacrosanct,Regarded as too important or valuable to be interfered with; sacred
Sagacious,Having or showing keen mental discernment and good judgment; wise
Salutary,Producing good effects; beneficial
Sanction,A threatened penalty for disobeying a law or rule; official permission or approval
Sanguine,Optimistic or positive especially in a difficult situation
Sardonic,Grimly mocking or cynical; scornfully derisive
Saturate,To cause something to become thoroughly soaked with liquid; to fill completely
Scorn,A feeling of contempt or disdain for someone or something; to reject with derision
Scrupulous,Diligent thorough and extremely attentive to details; morally correct
Scrutinize,To examine or inspect closely and thoroughly
Secretive,Inclined to conceal feelings and intentions; not open or frank
Seditious,Inciting or causing people to rebel against the authority of a state
Sensitive,Quick to detect or respond to slight changes; easily damaged or offended
Simulate,To imitate the appearance or character of; to create a model of a situation
Sincerity,The quality of being free from pretense or deceit; genuineness
Sinuous,Having many curves and turns; lithe and supple
Skeptical,Not easily convinced; having doubts or reservations
Sophisticated,Having a great deal of worldly experience and knowledge; highly developed
Soporific,Tending to induce drowsiness or sleep; tediously boring
Span,The full extent of something from end to end; to extend across
Sparingly,In a restricted or economical manner; moderately
Speculate,To form a theory or conjecture without firm evidence
Spurious,Not being what it purports to be; false or fake
Stark,Severe or bare in appearance; unpleasantly or sharply clear
Stolid,Calm dependable and showing little emotion or animation
Strategy,A plan of action designed to achieve a long-term or overall aim
Strenuously,In a way that requires or involves great exertion; vigorously
Strident,Loud and harsh; presenting a point of view in an excessively forceful way
Stringent,Strict precise and exacting; imposing rigorous standards
Sturdily,In a way that is strongly and solidly built; robustly
Stymie,To prevent or hinder the progress of; to thwart or frustrate
Substantial,Of considerable importance size or worth; solidly built
Subtle,So delicate or precise as to be difficult to analyze or describe; understated
Succumb,To fail to resist pressure temptation or some other negative force
Sufficient,Enough to meet the needs of a situation or proposed end; adequate
Supercilious,Behaving as though one is superior to others; arrogantly disdainful
Superficial,Existing or occurring at or on the surface; lacking depth
Superfluous,Unnecessary especially through being more than enough; excess
Supine,Lying face upward; failing to act as a result of moral weakness
Supplement,Something that completes or enhances something else; an addition
Suppress,To forcibly put an end to; to prevent from being expressed or published
Surmise,To suppose that something is true without having evidence to confirm it
Surpass,To exceed or be greater than; to go beyond in quality or achievement
Surrender,To cease resistance to an enemy or opponent and submit to their authority
Susceptible,Likely or liable to be influenced or harmed by a particular thing
Sustainable,Able to be maintained at a certain rate or level; not depleting resources
Sycophant,A person who acts obsequiously toward someone important to gain advantage
Synchronization,The operation or activity of two or more things at the same time or rate
Taciturn,Reserved or uncommunicative in speech; saying little
Tangential,Relating to or along a tangent; only slightly connected or relevant
Tangible,Perceptible by touch; clear and definite; real
Technique,A way of carrying out a particular task; a skillful or efficient method
Tedious,Too long slow or dull; tiresome or monotonous
Temerity,Excessive confidence or boldness; audacity
Tenacious,Tending to keep a firm hold; persistent and determined
Tentative,Not certain or fixed; provisional or hesitant
Tenuous,Very weak or slight; lacking a sound basis
Theoretical,Concerned with or involving the theory of a subject rather than its practical application
Theory,A supposition or system of ideas intended to explain something
Thoughtfulness,Careful consideration or attention; showing consideration for others
Tortuous,Full of twists and turns; excessively lengthy and complex
Tractable,Easy to control or influence; manageable
Tranquil,Free from disturbance; calm and peaceful
Transform,To make a thorough or dramatic change in form appearance or character
Transparent,Allowing light to pass through so objects can be seen; easy to perceive or detect
Trivial,Of little value or importance; insignificant
Truculent,Eager or quick to argue or fight; aggressively defiant
Turpitude,Depravity or wickedness; a depraved or wicked act
Ubiquitous,Present appearing or found everywhere; omnipresent
Ultimate,Being or happening at the end of a process; final or fundamental
Uncontroversial,Not giving rise or likely to give rise to controversy or public disagreement
Unctuous,Excessively or ingratiatingly flattering; oily in character
Undeniable,Unable to be denied or disputed; certainly true
Underscore,To underline for emphasis; to emphasize or highlight
Uniform,Remaining the same in all cases and at all times; consistent
Unimportant,Lacking in importance or significance; trivial
Unintended,Not planned or meant; accidental
Universal,Relating to or done by all people or things in the world; applicable everywhere
Unmistakable,Not able to be mistaken for anything else; clear and obvious
Unobtrusive,Not conspicuous or attracting attention; not intrusive
Unoriginal,Lacking originality; derivative or imitative
Unpredictable,Not able to be predicted; changeable or erratic
Usurp,To take a position of power or importance illegally or by force
Vacuous,Having or showing a lack of thought or intelligence; empty
Valid,Having a sound basis in logic or fact; legally binding or acceptable
Validate,To check or prove the validity or accuracy of; to make or declare legally valid
Variable,Not consistent or having a fixed pattern; liable to change
Venerate,To regard with great respect; to revere
Verbose,Using or expressed in more words than are needed; wordy
Verisimilitude,The appearance of being true or real; the quality of seeming realistic
Veritable,Used as an intensifier often to qualify a metaphor; genuine or real
Versatile,Able to adapt or be adapted to many different functions or activities
Viable,Capable of working successfully; feasible or practical
Vicarious,Experienced in the imagination through the feelings or actions of another person
Vigilance,The action or state of keeping careful watch for possible danger or difficulties
Vindicate,To clear someone of blame or suspicion; to show or prove to be right or justified
Vindictive,Having or showing a strong or unreasoning desire for revenge
Vital,Absolutely necessary or important; essential to life
Vitiate,To spoil or impair the quality or efficiency of; to destroy or impair legal validity
Vituperative,Bitter and abusive; characterized by harsh criticism
Vivid,Producing powerful feelings or strong clear images in the mind; intensely deep or bright
Vociferous,Expressing opinions or feelings in a loud and forceful way; vehement
Volatile,Liable to change rapidly and unpredictably; prone to sudden violent action
Waive,To refrain from insisting on or using a right or claim; to relinquish voluntarily
Warranted,Justified or authorized; deserved or merited
Wary,Feeling or showing caution about possible dangers or problems
Widespread,Found or distributed over a large area or number of people; extensive
Withdraw,To remove or take away; to retreat or pull back
Yield,To produce or provide; to give way to arguments or pressure
Zealous,Having or showing zeal; fervent and enthusiastic
